Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
D5	diode 3.5	0.998	2.061	0.823	2.061	0.823	2.061	Top	0.0
D5a	diode 3.5	1.598	2.461	1.773	2.461	1.773	2.461	Top	180.0
D9	diode 3.5	0.998	3.161	0.823	3.161	0.823	3.161	Top	0.0
D1b	diode 3.5	1.598	1.761	1.423	1.761	1.423	1.761	Top	0.0
D4a	diode 3.5	1.598	2.261	1.773	2.261	1.773	2.261	Top	180.0
D1a	diode 3.5	1.598	1.661	1.773	1.661	1.773	1.661	Top	180.0
D15b	diode 3.5	0.398	1.861	0.573	1.861	0.573	1.861	Top	180.0
D14b	diode 3.5	0.398	2.061	0.573	2.061	0.573	2.061	Top	180.0
ZIF	DIP16	0.998	0.811	1.148	0.461	1.148	0.461	Top	90.0
D16b	diode 3.5	0.398	1.661	0.573	1.661	0.573	1.661	Top	180.0
D16	diode 3.5	0.998	2.461	0.823	2.461	0.823	2.461	Top	0.0
D6	diode 3.5	0.998	2.161	0.823	2.161	0.823	2.161	Top	0.0
L1	smLED	1.872	0.136	1.823	0.136	1.823	0.136	Top	0.0
DIP1	DIP16	1.573	0.811	1.723	0.461	1.723	0.461	Top	90.0
DIP2	DIP16	0.423	0.811	0.273	1.161	0.273	1.161	Top	-90.0
D7a	diode 3.5	1.598	2.861	1.773	2.861	1.773	2.861	Top	180.0
D7	diode 3.5	0.998	2.261	0.823	2.261	0.823	2.261	Top	0.0
D13a	diode 3.5	0.398	2.361	0.223	2.361	0.223	2.361	Top	0.0
D11	diode 3.5	0.998	2.961	0.823	2.961	0.823	2.961	Top	0.0
D11a	diode 3.5	0.398	2.761	0.223	2.761	0.223	2.761	Top	0.0
D11b	diode 3.5	0.398	2.661	0.573	2.661	0.573	2.661	Top	180.0
R1	res	1.923	0.498	1.923	0.360	1.923	0.360	Top	90.0
D8b	diode 3.5	1.598	3.161	1.423	3.161	1.423	3.161	Top	0.0
D6a	diode 3.5	1.598	2.661	1.773	2.661	1.773	2.661	Top	180.0
D9a	diode 3.5	0.398	3.161	0.223	3.161	0.223	3.161	Top	0.0
D2b	diode 3.5	1.598	1.961	1.423	1.961	1.423	1.961	Top	0.0
D13	diode 3.5	0.998	2.761	0.823	2.761	0.823	2.761	Top	0.0
D2a	diode 3.5	1.598	1.861	1.773	1.861	1.773	1.861	Top	180.0
D15	diode 3.5	0.998	2.561	0.823	2.561	0.823	2.561	Top	0.0
D4b	diode 3.5	1.598	2.361	1.423	2.361	1.423	2.361	Top	0.0
D4	diode 3.5	0.998	1.961	0.823	1.961	0.823	1.961	Top	0.0
D16a	diode 3.5	0.398	1.761	0.223	1.761	0.223	1.761	Top	0.0
D15a	diode 3.5	0.398	1.961	0.223	1.961	0.223	1.961	Top	0.0
D6b	diode 3.5	1.598	2.761	1.423	2.761	1.423	2.761	Top	0.0
D13b	diode 3.5	0.398	2.261	0.573	2.261	0.573	2.261	Top	180.0
D3b	diode 3.5	1.598	2.161	1.423	2.161	1.423	2.161	Top	0.0
D3a	diode 3.5	1.598	2.061	1.773	2.061	1.773	2.061	Top	180.0
D10b	diode 3.5	0.398	2.861	0.573	2.861	0.573	2.861	Top	180.0
D8a	diode 3.5	1.598	3.061	1.773	3.061	1.773	3.061	Top	180.0
D10	diode 3.5	0.998	3.061	0.823	3.061	0.823	3.061	Top	0.0
D12	diode 3.5	0.998	2.861	0.823	2.861	0.823	2.861	Top	0.0
D8	diode 3.5	0.998	2.361	0.823	2.361	0.823	2.361	Top	0.0
D1	diode 3.5	0.998	1.661	0.823	1.661	0.823	1.661	Top	0.0
D12b	diode 3.5	0.398	2.461	0.573	2.461	0.573	2.461	Top	180.0
D7b	diode 3.5	1.598	2.961	1.423	2.961	1.423	2.961	Top	0.0
D5b	diode 3.5	1.598	2.561	1.423	2.561	1.423	2.561	Top	0.0
D9b	diode 3.5	0.398	3.061	0.573	3.061	0.573	3.061	Top	180.0
D2	diode 3.5	0.998	1.761	0.823	1.761	0.823	1.761	Top	0.0
D10a	diode 3.5	0.398	2.961	0.223	2.961	0.223	2.961	Top	0.0
D14a	diode 3.5	0.398	2.161	0.223	2.161	0.223	2.161	Top	0.0
D3	diode 3.5	0.998	1.861	0.823	1.861	0.823	1.861	Top	0.0
SW1	switch	0.222	0.150	0.044	0.258	0.044	0.258	Top	-90.0
D12a	diode 3.5	0.398	2.561	0.223	2.561	0.223	2.561	Top	0.0
D14	diode 3.5	0.998	2.661	0.823	2.661	0.823	2.661	Top	0.0
